Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Civic Education,Geography,Economics,Government,Literature,admitted_department
REG2025_1026,Uche Chukwu,Mathematics and Statistics,187,45,F9,B2,D7,E8,E8,C6,C6,B3,C5,C6,C5,-
REG2025_1027,Ngozi Muhammed,Physics,226,71,C5,C4,C4,C4,C5,C5,B2,C5,C6,B2,C6,Mathematics and Statistics
REG2025_1028,Zainab Ibrahim,Applied Physics,240,75,C6,C6,C6,B3,B3,C4,C6,B3,B3,B3,B2,Industrial Chemistry
REG2025_1029,Uche Adeyemi,Computer Science,156,47,F9,C6,F9,D7,E8,B3,B3,A1,C5,C5,C4,Computer Science
REG2025_1030,Zainab Okonkwo,Physics,156,49,F9,B3,E8,D7,D7,B3,C6,C4,C4,C5,C5,Physics
REG2025_1031,Seun Abubakar,Applied Physics,237,66,A1,B2,C5,B2,C6,B2,B3,C6,A1,B3,B2,Applied Physics
REG2025_1032,Ngozi Adewale,Physics,196,35,F9,C5,D7,F9,D7,C5,B3,C5,C6,C6,B2,Physics
REG2025_1033,Ngozi Chukwu,Mathematics and Statistics,220,74,B2,B2,C5,B2,A1,A1,C6,C6,A1,C5,C6,Mathematics and Statistics
REG2025_1034,Funmi Muhammed,Biochemistry,196,36,F9,C4,F9,E8,D7,A1,B2,B2,B2,C4,C4,Biochemistry
REG2025_1035,Seun Balogun,Animal and Environmental Biology,218,68,C6,B2,B2,C4,B3,C4,B2,C5,C4,C5,C4,-
REG2025_1036,Ngozi Abubakar,Plant Science and Biotechnology,252,78,C6,B2,A1,B3,C6,C6,C5,B2,A1,C4,C4,Plant Science and Biotechnology
REG2025_1037,Uche Chukwu,Biochemistry,240,78,A1,C5,C6,C5,C4,C5,C4,C6,B2,B2,C5,Plant Science and Biotechnology
REG2025_1038,Seun Okoro,Industrial Chemistry,245,77,A1,C4,B2,A1,C6,C4,B3,B2,C4,B3,C6,Industrial Chemistry
REG2025_1039,Aisha Ojo,Microbiology,171,43,D7,C5,F9,E8,F9,A1,C6,B3,B2,B3,C4,Applied Physics
REG2025_1040,Chika Abubakar,Computer Science,252,81,C5,C6,C6,B3,C6,B3,B2,A1,B2,B3,C5,Computer Science
REG2025_1041,Blessing Ojo,Microbiology,250,76,B3,B2,C4,A1,C6,B2,B3,A1,C6,B2,C4,Microbiology
REG2025_1042,Uche Adewale,Biochemistry,242,79,C5,C5,B3,A1,A1,C4,B3,C6,C5,B3,B2,Applied Physics
REG2025_1043,Tunde Okoro,Industrial Chemistry,240,76,B2,A1,B3,C6,C5,B2,C6,B2,C5,B2,A1,Animal and Environmental Biology
REG2025_1044,Blessing Ojo,Biochemistry,154,31,E8,A1,D7,E8,F9,B3,B3,B2,C5,B3,B3,Industrial Chemistry
REG2025_1045,Ngozi Okonkwo,Physics,156,52,E8,C5,D7,D7,E8,C4,C5,A1,A1,C4,C6,Physics
REG2025_1046,Ifeanyi Okoro,Animal and Environmental Biology,231,64,B2,C4,C6,C5,B3,B3,A1,B2,B3,C6,A1,Animal and Environmental Biology
REG2025_1047,Chika Muhammed,Microbiology,248,79,B3,C6,B2,B2,C6,C6,C4,B3,C4,C6,C6,Microbiology
REG2025_1048,Ifeanyi Chukwu,Industrial Chemistry,251,77,A1,C5,B2,C5,C4,B3,B3,A1,A1,A1,C6,Industrial Chemistry
REG2025_1049,Funmi Adeyemi,Microbiology,254,79,B3,C6,B2,A1,C5,C5,C5,B3,B2,B3,C4,Plant Science and Biotechnology
REG2025_1050,Blessing Adeyemi,Microbiology,239,73,B2,C6,A1,B2,A1,A1,C4,B3,B2,C5,C5,Microbiology
REG2025_1051,Blessing Adewale,Computer Science,235,74,C5,B3,B3,C5,C6,A1,A1,A1,A1,A1,B3,Computer Science
REG2025_1052,Seun Okoro,Computer Science,239,71,C6,A1,C6,A1,C5,B3,C6,B3,C5,A1,B2,Computer Science
REG2025_1053,Funmi Okoro,Microbiology,235,79,C6,C4,B2,C5,C5,B3,A1,A1,C6,C4,A1,Microbiology
REG2025_1054,Zainab Ibrahim,Microbiology,156,43,E8,B2,F9,E8,D7,B2,B2,C6,C6,B3,B2,Microbiology
REG2025_1055,Ngozi Ibrahim,Plant Science and Biotechnology,222,64,C4,C4,B3,C4,C5,C6,C6,C6,C6,A1,C6,Plant Science and Biotechnology
REG2025_1056,Zainab Adeyemi,Physics,187,46,F9,C5,E8,D7,F9,B2,C5,B3,C4,B3,C5,Physics
REG2025_1057,Chika Abubakar,Plant Science and Biotechnology,210,63,C4,C5,B2,C6,C6,C5,C5,B3,B3,B3,A1,Plant Science and Biotechnology
REG2025_1058,Uche Abubakar,Microbiology,245,79,A1,C4,B2,C4,C4,B2,C5,B3,B2,B3,B3,Microbiology
REG2025_1059,Ifeanyi Ojo,Microbiology,248,74,C5,C6,B2,C4,C6,A1,C6,B3,C5,B2,C6,Microbiology
REG2025_1060,Uche Ibrahim,Mathematics and Statistics,222,70,C6,B3,C6,C5,A1,B2,C4,C5,C6,C5,C6,Animal and Environmental Biology
REG2025_1061,Ifeanyi Okoro,Microbiology,251,73,C6,B3,B3,A1,B3,C5,C6,C5,C5,A1,B3,Microbiology
REG2025_1062,Seun Okonkwo,Physics,251,75,C5,C5,C5,B3,B2,C6,C6,C5,C4,C4,C5,Plant Science and Biotechnology
REG2025_1063,Zainab Chukwu,Computer Science,138,30,E8,C5,E8,D7,F9,B3,C6,C5,C4,C5,C5,Computer Science
REG2025_1064,Blessing Muhammed,Biochemistry,249,76,C5,B2,C5,C5,B3,C6,C4,B3,B2,C5,C4,Mathematics and Statistics
REG2025_1065,Seun Abubakar,Computer Science,265,80,C6,C5,C5,B3,B3,C4,B2,C5,B2,C4,C6,Computer Science
REG2025_1066,Chika Okoro,Animal and Environmental Biology,134,33,D7,B2,F9,D7,F9,C6,B3,B3,B3,B2,C5,Animal and Environmental Biology
REG2025_1067,Tunde Ojo,Physics,221,74,C4,A1,B2,C6,C4,B2,A1,B2,A1,C6,B3,Physics
REG2025_1068,Blessing Ibrahim,Computer Science,260,77,B2,C5,A1,C5,C6,C6,A1,C6,C6,C6,A1,Computer Science
REG2025_1069,Funmi Okoro,Industrial Chemistry,214,65,B2,C6,C6,C4,C4,B3,C6,B2,C5,C4,C5,-
REG2025_1070,Aisha Ibrahim,Applied Physics,216,71,C4,B2,B3,C5,B2,B3,B3,C5,B3,C5,C6,Industrial Chemistry
REG2025_1071,Chika Ojo,Computer Science,140,50,D7,C5,F9,D7,E8,B2,B2,B2,C5,C4,B2,Applied Physics
REG2025_1072,Uche Muhammed,Applied Physics,235,73,B2,B2,C4,C4,C6,A1,C4,C4,B3,A1,C4,Applied Physics
REG2025_1073,Tunde Ibrahim,Computer Science,257,76,B3,A1,C6,C6,B2,A1,C6,C6,C4,A1,C4,Computer Science
REG2025_1074,Tunde Abubakar,Computer Science,131,35,D7,A1,E8,E8,E8,B3,C6,B2,C4,A1,C6,Plant Science and Biotechnology
REG2025_1075,Zainab Balogun,Biochemistry,161,52,D7,B3,E8,F9,E8,A1,C6,A1,B3,A1,A1,Biochemistry
REG2025_1076,Ngozi Muhammed,Microbiology,242,70,C5,C5,C6,A1,C5,C5,B2,B3,C6,C6,C6,-
REG2025_1077,Blessing Okonkwo,Animal and Environmental Biology,221,62,C6,B2,C6,C4,B3,C6,B3,B3,C5,B2,C6,Plant Science and Biotechnology
REG2025_1078,Uche Balogun,Animal and Environmental Biology,218,64,C5,C6,B3,B3,A1,B2,C6,C6,B3,C6,C5,Animal and Environmental Biology
REG2025_1079,Blessing Okoro,Animal and Environmental Biology,226,63,B3,A1,C4,C4,B2,B2,C6,C5,B2,C6,C4,Plant Science and Biotechnology
REG2025_1080,Chika Ibrahim,Physics,249,75,C6,A1,B2,B2,C6,A1,B3,C4,A1,C4,A1,Physics
REG2025_1081,Aisha Ojo,Biochemistry,156,31,D7,B2,E8,F9,F9,C5,C6,C4,B3,B3,B2,Biochemistry
REG2025_1082,Chika Balogun,Biochemistry,197,48,D7,B3,E8,F9,D7,C5,C6,C6,B3,A1,B2,Biochemistry
REG2025_1083,Funmi Abubakar,Industrial Chemistry,153,40,E8,C4,E8,D7,F9,C4,B3,C6,A1,B2,C5,Industrial Chemistry
REG2025_1084,Zainab Adeyemi,Plant Science and Biotechnology,223,65,A1,A1,B3,C5,C4,C6,B2,A1,B2,B2,C6,Plant Science and Biotechnology
REG2025_1085,Tunde Chukwu,Mathematics and Statistics,125,42,D7,B3,E8,E8,E8,B2,C4,C5,C6,A1,C6,Mathematics and Statistics
REG2025_1086,Aisha Ojo,Microbiology,233,77,A1,C5,C6,A1,C6,B2,C4,A1,B3,A1,C6,Microbiology
REG2025_1087,Tunde Adewale,Applied Physics,254,79,B2,C4,C5,C4,B3,B3,C4,B3,B2,C6,A1,Industrial Chemistry
REG2025_1088,Aisha Okonkwo,Computer Science,261,82,A1,A1,B3,B3,B3,C6,A1,B2,B2,A1,A1,-
REG2025_1089,Seun Okoro,Physics,228,69,B3,B2,C6,B3,A1,B2,B3,B3,B2,A1,C5,-
REG2025_1090,Blessing Abubakar,Microbiology,243,76,C4,A1,C5,B3,B2,B3,B2,B3,C5,C5,A1,Microbiology
REG2025_1091,Aisha Okoro,Mathematics and Statistics,208,67,C6,C4,C4,A1,A1,C5,C5,B2,B2,C6,C6,Plant Science and Biotechnology
REG2025_1092,Zainab Ojo,Industrial Chemistry,186,46,D7,C5,F9,E8,F9,C5,A1,C5,C5,B2,C6,Industrial Chemistry
REG2025_1093,Chika Adewale,Industrial Chemistry,150,33,F9,C4,D7,D7,D7,C5,C5,C6,C6,C4,C4,Industrial Chemistry
REG2025_1094,Seun Adeyemi,Physics,248,79,C6,C5,B2,B2,C6,C6,C4,B2,B3,B2,C4,Physics
REG2025_1095,Ngozi Ojo,Biochemistry,161,52,E8,B3,F9,F9,E8,C4,C5,B2,C4,A1,A1,Plant Science and Biotechnology
REG2025_1096,Chika Balogun,Microbiology,242,70,C5,C4,C5,C5,C4,B2,C4,A1,B3,C4,C5,Microbiology
REG2025_1097,Ngozi Abubakar,Microbiology,253,76,B3,B3,B2,A1,C5,C6,C6,C5,B3,C4,A1,Microbiology
REG2025_1098,Tunde Adewale,Applied Physics,217,74,C5,A1,C6,C5,C4,B2,B2,A1,B2,C5,A1,Applied Physics
REG2025_1099,Zainab Muhammed,Mathematics and Statistics,232,73,A1,B2,B2,B3,B3,C6,B3,C5,B2,C5,B2,Mathematics and Statistics
REG2025_1100,Zainab Balogun,Animal and Environmental Biology,246,77,B3,B2,C5,A1,B2,C4,C5,C4,C5,C6,C4,Animal and Environmental Biology
REG2025_1101,Aisha Muhammed,Physics,242,71,C5,C4,C4,C6,B2,B2,A1,C6,B2,A1,A1,Industrial Chemistry
REG2025_1102,Tunde Okonkwo,Biochemistry,250,75,B3,B3,B2,C6,C6,C6,A1,B3,C4,B2,B2,Biochemistry
REG2025_1103,Aisha Ojo,Applied Physics,133,33,E8,B3,E8,D7,F9,C4,A1,C4,A1,B2,C4,Mathematics and Statistics
REG2025_1104,Uche Chukwu,Industrial Chemistry,228,72,B3,A1,C6,C6,C6,C6,C5,A1,C6,B2,C4,Industrial Chemistry
REG2025_1105,Ifeanyi Ibrahim,Physics,240,74,C6,A1,A1,C6,C6,B3,C5,C6,B2,C4,A1,Applied Physics
REG2025_1106,Blessing Adeyemi,Biochemistry,245,75,A1,B2,B3,C5,C4,C6,A1,A1,C6,C6,C4,Biochemistry
REG2025_1107,Aisha Adeyemi,Mathematics and Statistics,134,38,F9,C5,F9,F9,D7,A1,A1,B3,B3,C4,C6,Mathematics and Statistics
REG2025_1108,Chika Adewale,Applied Physics,243,68,C6,C6,C4,C6,A1,C5,B3,B3,C6,C5,A1,Applied Physics
REG2025_1109,Chika Balogun,Physics,181,54,F9,C6,F9,D7,D7,B2,C6,C6,C4,A1,C6,Industrial Chemistry
REG2025_1110,Tunde Ibrahim,Plant Science and Biotechnology,168,55,D7,B2,F9,D7,E8,C4,C5,C5,B2,C4,C6,Plant Science and Biotechnology
REG2025_1111,Tunde Okoro,Physics,243,74,B2,B3,A1,B3,B3,C6,B2,C5,B2,C6,B3,Applied Physics
REG2025_1112,Seun Abubakar,Industrial Chemistry,244,78,B3,B2,B2,B3,C4,C6,C6,B2,B3,C6,B2,Mathematics and Statistics
REG2025_1113,Ngozi Adewale,Mathematics and Statistics,211,68,C4,C6,A1,B3,C5,A1,C4,B3,B2,C4,A1,Mathematics and Statistics
REG2025_1114,Zainab Chukwu,Computer Science,250,84,C6,B3,C5,B2,B2,B3,C5,C5,C4,C4,B3,Applied Physics
REG2025_1115,Chika Okoro,Microbiology,250,75,B2,C6,B3,A1,B3,B2,C6,B3,B2,A1,A1,Microbiology
REG2025_1116,Tunde Okoro,Biochemistry,242,71,B3,C5,B3,C6,C4,B3,A1,B2,C6,C4,C6,Biochemistry
REG2025_1117,Blessing Muhammed,Plant Science and Biotechnology,198,30,D7,B3,D7,F9,F9,A1,C6,C4,B2,A1,C5,Plant Science and Biotechnology
REG2025_1118,Ifeanyi Abubakar,Mathematics and Statistics,133,36,E8,B3,D7,D7,E8,B3,C4,C4,C6,B3,B2,Animal and Environmental Biology
REG2025_1119,Seun Okonkwo,Physics,243,76,B3,C5,C4,A1,B3,B2,C4,C5,B3,B2,A1,Physics
REG2025_1120,Tunde Abubakar,Applied Physics,137,56,D7,C5,E8,D7,D7,C6,C4,C6,B3,A1,C6,Plant Science and Biotechnology
REG2025_1121,Ifeanyi Adeyemi,Computer Science,232,70,B3,B3,C6,C6,B2,A1,B2,C5,A1,C5,A1,Computer Science
REG2025_1122,Uche Adeyemi,Biochemistry,144,46,E8,B3,F9,E8,D7,A1,B2,C6,B3,B3,A1,Animal and Environmental Biology
REG2025_1123,Ngozi Okonkwo,Animal and Environmental Biology,245,75,C5,A1,A1,B3,B2,C5,A1,C4,C6,C5,C6,Animal and Environmental Biology
REG2025_1124,Ngozi Okonkwo,Applied Physics,150,41,F9,B3,E8,E8,D7,B3,B3,C5,B2,C5,C5,Applied Physics
REG2025_1125,Ngozi Chukwu,Microbiology,237,73,C5,A1,B3,C5,A1,C5,B2,C4,C4,C6,C5,Microbiology
REG2025_1126,Ifeanyi Ojo,Applied Physics,252,76,B3,A1,C4,C6,B3,C5,C6,B2,C4,C4,C5,Applied Physics
REG2025_1127,Ifeanyi Okonkwo,Plant Science and Biotechnology,202,66,B3,C4,B3,B2,A1,C6,B2,C6,A1,C5,B2,Plant Science and Biotechnology
REG2025_1128,Tunde Chukwu,Computer Science,256,84,B2,C5,C5,C5,C5,A1,C6,C4,B2,B2,C6,Computer Science
REG2025_1129,Tunde Ojo,Physics,246,77,C4,B2,A1,A1,C4,C4,B3,B3,C6,B3,A1,Physics
REG2025_1130,Aisha Chukwu,Microbiology,190,43,F9,C6,E8,E8,E8,B2,C6,C6,C6,A1,A1,Microbiology
REG2025_1131,Ifeanyi Adewale,Biochemistry,126,55,E8,C4,E8,D7,E8,C4,B3,C6,B2,C4,A1,-
REG2025_1132,Aisha Muhammed,Applied Physics,218,72,C5,C5,B3,B2,B2,C5,C4,B2,B3,A1,B3,Applied Physics
REG2025_1133,Ifeanyi Ibrahim,Animal and Environmental Biology,210,66,B3,C4,B2,C4,B3,C5,B3,C5,C6,C6,B3,Animal and Environmental Biology
REG2025_1134,Chika Okoro,Applied Physics,242,75,C6,C5,B3,C5,B3,C4,B3,B3,C5,C5,C6,Applied Physics
REG2025_1135,Funmi Ibrahim,Animal and Environmental Biology,203,62,B2,B3,C4,C4,C4,A1,B3,A1,B3,C4,C4,Animal and Environmental Biology
REG2025_1136,Aisha Okoro,Biochemistry,149,56,E8,A1,D7,D7,E8,B3,C6,C6,B2,C6,A1,Biochemistry
REG2025_1137,Uche Ojo,Applied Physics,240,66,C5,C6,A1,C6,C4,A1,C4,C4,B3,B2,C6,Applied Physics
REG2025_1138,Funmi Okoro,Plant Science and Biotechnology,223,64,C6,C4,C6,C4,B3,C5,C4,B3,C5,A1,A1,Plant Science and Biotechnology
REG2025_1139,Funmi Balogun,Physics,229,74,C5,B2,A1,B3,B3,B2,C4,B3,B2,C6,C5,-
REG2025_1140,Ifeanyi Adeyemi,Computer Science,243,83,B2,B3,B2,C4,C4,C4,B2,C4,C4,C4,B2,-
REG2025_1141,Uche Okoro,Industrial Chemistry,157,45,E8,B2,E8,D7,F9,B2,C6,C4,A1,C5,B2,-
REG2025_1142,Seun Okoro,Industrial Chemistry,226,73,C6,C4,C4,B2,B3,B3,C6,B2,C6,C4,A1,Plant Science and Biotechnology
REG2025_1143,Zainab Abubakar,Computer Science,243,70,C6,B2,C6,B2,B2,B2,A1,C6,C6,C6,C5,Computer Science
REG2025_1144,Ngozi Abubakar,Mathematics and Statistics,155,43,E8,A1,F9,E8,F9,A1,A1,C6,C5,A1,B2,Mathematics and Statistics
REG2025_1145,Chika Adewale,Microbiology,242,74,C4,B2,C5,A1,C5,C6,B3,A1,C5,A1,C4,Microbiology
REG2025_1146,Funmi Ibrahim,Biochemistry,189,58,D7,A1,F9,E8,F9,A1,C6,C4,B2,A1,A1,Animal and Environmental Biology
REG2025_1147,Blessing Adewale,Microbiology,250,76,A1,A1,C4,C6,C4,C6,C6,A1,B3,C5,C4,-
REG2025_1148,Uche Chukwu,Computer Science,261,75,B3,C5,C5,A1,A1,C6,C4,C4,B3,B3,C5,Physics
REG2025_1149,Ifeanyi Chukwu,Computer Science,126,57,F9,C4,F9,F9,D7,B3,C4,C6,C4,C4,A1,Computer Science
REG2025_1150,Seun Balogun,Animal and Environmental Biology,140,30,F9,B2,D7,D7,E8,C4,A1,C6,C4,C6,B2,Animal and Environmental Biology
REG2025_1151,Ngozi Ojo,Biochemistry,250,72,B3,C5,B3,A1,C4,A1,C5,A1,B3,C4,C6,-
REG2025_1152,Tunde Okoro,Plant Science and Biotechnology,252,76,C6,A1,B2,B3,C5,C5,C5,A1,C6,C4,A1,Plant Science and Biotechnology
REG2025_1153,Tunde Ibrahim,Computer Science,127,38,D7,C6,F9,F9,F9,C4,A1,B3,B3,B2,A1,Applied Physics
REG2025_1154,Tunde Okoro,Biochemistry,242,73,B2,C4,B3,C5,C5,C6,C5,B2,C4,C6,C4,Applied Physics
REG2025_1155,Ifeanyi Chukwu,Biochemistry,240,70,C5,B2,C4,C6,B2,B2,C6,C5,C5,C4,B3,Biochemistry
REG2025_1156,Tunde Chukwu,Computer Science,241,82,C4,B3,C5,C5,B3,A1,C4,A1,C6,C6,B2,Computer Science
REG2025_1157,Chika Balogun,Biochemistry,242,70,C6,C5,C6,C4,B2,C4,C4,B2,C4,B3,B2,Biochemistry
REG2025_1158,Chika Muhammed,Physics,253,78,C4,A1,C4,B2,B2,A1,C4,A1,C4,C5,C6,Animal and Environmental Biology
REG2025_1159,Tunde Balogun,Applied Physics,253,77,B3,B2,B2,C5,C4,C6,B2,B2,C6,B3,C6,Applied Physics
REG2025_1160,Ngozi Balogun,Animal and Environmental Biology,148,50,E8,A1,F9,F9,E8,C4,C6,B3,C5,B3,A1,Plant Science and Biotechnology
REG2025_1161,Seun Adeyemi,Plant Science and Biotechnology,200,63,C6,B3,B2,A1,B3,B3,A1,C6,C6,C6,C4,Plant Science and Biotechnology
REG2025_1162,Chika Abubakar,Computer Science,266,81,C6,B2,C4,C5,C5,C4,C4,C5,C5,C5,B3,Computer Science
REG2025_1163,Blessing Muhammed,Mathematics and Statistics,244,79,C5,B3,A1,C4,C4,C5,A1,C5,B3,C6,B3,Mathematics and Statistics
REG2025_1164,Blessing Muhammed,Industrial Chemistry,212,71,A1,A1,C5,B2,A1,C6,B3,A1,A1,A1,C5,Animal and Environmental Biology
REG2025_1165,Ifeanyi Chukwu,Microbiology,238,72,A1,C5,C6,B2,C4,C5,A1,C6,A1,A1,B3,Microbiology
REG2025_1166,Chika Chukwu,Animal and Environmental Biology,223,65,C4,C4,C5,B2,A1,C4,A1,C4,A1,A1,B3,-
REG2025_1167,Zainab Balogun,Plant Science and Biotechnology,254,79,B2,C6,B3,B3,C6,C6,B2,C4,C5,C4,C4,Plant Science and Biotechnology
REG2025_1168,Tunde Okoro,Mathematics and Statistics,218,68,A1,C6,C5,B3,C4,C4,B3,B3,B2,B2,C5,Mathematics and Statistics
REG2025_1169,Zainab Adewale,Applied Physics,232,70,A1,A1,C6,B2,A1,A1,C5,B3,B2,C6,B2,Applied Physics
REG2025_1170,Ngozi Chukwu,Animal and Environmental Biology,249,75,B2,A1,C4,B2,A1,B2,B2,C4,C4,A1,C6,-
REG2025_1171,Chika Chukwu,Computer Science,249,77,B2,C6,A1,C4,B2,B3,C6,C5,C5,B3,C6,-
REG2025_1172,Aisha Muhammed,Applied Physics,227,70,C5,B3,C6,C5,C6,C4,C6,A1,C4,C5,C5,-
REG2025_1173,Zainab Okonkwo,Animal and Environmental Biology,212,65,C5,C6,C4,C4,C5,C5,B2,C4,C5,B2,C6,Animal and Environmental Biology
REG2025_1174,Uche Abubakar,Microbiology,249,72,B3,B2,B3,B2,B3,B2,C5,B3,B3,A1,B3,-
REG2025_1175,Blessing Okonkwo,Microbiology,242,75,B2,A1,B2,C4,C4,C5,A1,B3,B2,A1,C6,Microbiology
REG2025_1176,Zainab Abubakar,Computer Science,186,47,D7,C5,D7,E8,F9,C5,B2,C4,C5,B3,B3,Applied Physics
REG2025_1177,Chika Ibrahim,Animal and Environmental Biology,251,75,B2,B2,B3,C4,B3,B2,B2,A1,A1,B2,C4,Plant Science and Biotechnology
REG2025_1178,Funmi Chukwu,Plant Science and Biotechnology,226,67,C4,A1,B2,B3,B3,C5,B2,B2,C5,B3,C6,Plant Science and Biotechnology
REG2025_1179,Funmi Abubakar,Biochemistry,231,78,B2,B3,A1,A1,C6,C6,A1,A1,C4,B2,C4,Biochemistry
REG2025_1180,Blessing Adewale,Computer Science,162,48,D7,C4,E8,F9,D7,B2,C5,B3,B3,C4,C6,Computer Science
REG2025_1181,Zainab Ojo,Microbiology,168,47,E8,B2,D7,E8,E8,B3,B3,C4,C5,C4,B3,Microbiology
REG2025_1182,Ifeanyi Ojo,Physics,175,53,D7,B2,F9,D7,F9,C5,A1,B3,B2,C4,C4,Physics
REG2025_1183,Ifeanyi Okoro,Microbiology,182,32,D7,C4,F9,E8,D7,C5,C4,B3,C5,C4,B3,Microbiology
REG2025_1184,Aisha Ojo,Biochemistry,248,74,B3,C4,C4,C6,C5,B2,A1,A1,A1,C6,B3,Animal and Environmental Biology
REG2025_1185,Chika Adewale,Industrial Chemistry,251,77,A1,C5,B2,C5,C4,B3,B2,C4,B3,C5,A1,Industrial Chemistry
REG2025_1186,Ngozi Adeyemi,Animal and Environmental Biology,215,65,C4,A1,C6,B2,C5,C5,C5,A1,A1,C6,C5,Animal and Environmental Biology
REG2025_1187,Ngozi Okonkwo,Applied Physics,218,73,A1,C6,C4,C5,C6,C5,C6,C4,A1,B3,C4,Applied Physics
REG2025_1188,Uche Chukwu,Applied Physics,195,45,D7,B2,D7,D7,E8,A1,B3,B3,A1,C5,C4,Animal and Environmental Biology
REG2025_1189,Zainab Ojo,Mathematics and Statistics,210,68,B3,A1,C6,A1,B2,B2,A1,C4,A1,B2,C5,Plant Science and Biotechnology
REG2025_1190,Ngozi Abubakar,Applied Physics,240,68,B3,B2,C4,C6,B3,C4,A1,C6,B2,A1,C6,Plant Science and Biotechnology
REG2025_1191,Funmi Adeyemi,Mathematics and Statistics,232,72,B2,C5,C4,C5,C6,B2,B3,B3,B2,B3,B3,Plant Science and Biotechnology
REG2025_1192,Ifeanyi Ojo,Industrial Chemistry,214,73,C6,B3,C5,B3,C6,A1,C5,B2,B3,C5,B3,-
REG2025_1193,Ngozi Muhammed,Applied Physics,222,74,C6,A1,A1,B3,C6,C6,C4,C5,B3,C4,C4,Applied Physics
