Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Geography,Economics,Literature,admitted_department
REG2025_0023,Norman Smith-Mann,Industrial Chemistry,234,77,B2,B2,C6,C6,C6,C6,B3,B3,B3,Industrial Chemistry
REG2025_0024,Jacob Parker,Computer Science,260,83,A1,A1,C6,C6,C6,C6,C6,C6,C6,Computer Science
REG2025_0025,Ms Lynne Barnes,Applied Physics,229,79,A1,A1,B2,B2,B2,B2,C4,C4,C4,Applied Physics
REG2025_0026,Jasmine Jones,Industrial Chemistry,227,78,A1,A1,C5,C5,C5,C5,C4,C4,C4,Industrial Chemistry
REG2025_0027,Miss Amber West,Applied Physics,227,79,C4,C4,B3,B3,B3,B3,C6,C6,C6,Applied Physics
REG2025_0028,Dr Clifford Turner,Plant Science and Biotechnology,212,75,A1,A1,A1,A1,A1,A1,A1,A1,A1,Plant Science and Biotechnology
REG2025_0029,Melanie West,Computer Science,257,83,B3,B3,B3,B3,B3,B3,C6,C6,C6,Computer Science
REG2025_0030,Matthew Burke,Applied Physics,244,77,C6,C6,B3,B3,B3,B3,A1,A1,A1,Applied Physics
REG2025_0031,Dr Georgina Nicholls,Physics,221,83,A1,A1,B2,B2,B2,B2,B2,B2,B2,Physics
REG2025_0032,Hayley Turnbull,Applied Physics,230,74,C4,C4,C6,C6,C6,C6,C4,C4,C4,Applied Physics
REG2025_0033,Mr Colin Hill,Animal and Environmental Biology,227,60,B2,B2,B2,B2,B2,B2,C4,C4,C4,Animal and Environmental Biology
REG2025_0034,Diana Cooper,Plant Science and Biotechnology,226,75,C4,C4,C4,C4,C4,C4,C4,C4,C4,Plant Science and Biotechnology
REG2025_0035,Nicholas Williams,Microbiology,259,76,B3,B3,A1,A1,A1,A1,B2,B2,B2,Microbiology
REG2025_0036,Deborah Carroll-Stone,Microbiology,236,78,B3,B3,B2,B2,B2,B2,B2,B2,B2,Microbiology
REG2025_0037,Alex Clark,Physics,243,75,B3,B3,C6,C6,C6,C6,B2,B2,B2,Physics
REG2025_0038,Dr Billy Roberts,Animal and Environmental Biology,229,63,C6,C6,C5,C5,C5,C5,C5,C5,C5,Animal and Environmental Biology
REG2025_0039,Dennis Richards,Microbiology,243,79,A1,A1,C6,C6,C6,C6,A1,A1,A1,Microbiology
REG2025_0040,Dr Andrew Parker,Computer Science,254,80,C5,C5,C4,C4,C4,C4,A1,A1,A1,Computer Science
REG2025_0041,Daniel Farrell,Mathematics and Statistics,210,76,B2,B2,C4,C4,C4,C4,A1,A1,A1,Mathematics and Statistics
REG2025_0042,Dr Barry Matthews,Plant Science and Biotechnology,230,74,A1,A1,C6,C6,C6,C6,C6,C6,C6,Plant Science and Biotechnology
REG2025_0043,Dr Stacey Dean,Microbiology,238,77,A1,A1,C4,C4,C4,C4,A1,A1,A1,Microbiology
REG2025_0044,Shirley Quinn,Physics,242,76,C5,C5,B2,B2,B2,B2,B2,B2,B2,Physics
REG2025_0045,Miss Helen Williams,Animal and Environmental Biology,223,72,C6,C6,C4,C4,C4,C4,B2,B2,B2,Animal and Environmental Biology
REG2025_0046,Ryan Holmes,Physics,228,76,B3,B3,A1,A1,A1,A1,B2,B2,B2,Physics
REG2025_0047,Daniel Griffiths,Biochemistry,246,83,C5,C5,A1,A1,A1,A1,B2,B2,B2,Biochemistry
REG2025_0048,Kim Lynch,Mathematics and Statistics,222,70,C5,C5,C4,C4,C4,C4,B3,B3,B3,Mathematics and Statistics
REG2025_0049,Richard Dawson,Industrial Chemistry,238,74,C4,C4,C5,C5,C5,C5,B3,B3,B3,Industrial Chemistry
REG2025_0050,Joshua Wall,Mathematics and Statistics,213,75,C4,C4,B3,B3,B3,B3,B3,B3,B3,Mathematics and Statistics
REG2025_0051,Judith Page,Plant Science and Biotechnology,214,73,C5,C5,C4,C4,C4,C4,C4,C4,C4,Plant Science and Biotechnology
REG2025_0052,Dr Wayne Marshall,Applied Physics,233,69,A1,A1,C5,C5,C5,C5,B3,B3,B3,Applied Physics
REG2025_0053,Dr Edward Hughes,Mathematics and Statistics,225,66,B2,B2,C5,C5,C5,C5,A1,A1,A1,Mathematics and Statistics
REG2025_0054,Joseph Smith,Computer Science,264,84,B2,B2,A1,A1,A1,A1,C6,C6,C6,Computer Science
REG2025_0055,Liam Hardy,Industrial Chemistry,224,69,C6,C6,C6,C6,C6,C6,C4,C4,C4,Industrial Chemistry
REG2025_0056,Josh Brown,Animal and Environmental Biology,220,66,A1,A1,B3,B3,B3,B3,B2,B2,B2,Animal and Environmental Biology
REG2025_0057,Georgina Thomas-Foster,Animal and Environmental Biology,214,74,C6,C6,B2,B2,B2,B2,C5,C5,C5,Animal and Environmental Biology
REG2025_0058,Ashley Newton,Microbiology,248,81,C4,C4,B3,B3,B3,B3,C5,C5,C5,Microbiology
REG2025_0059,Dr Jordan Cooke,Applied Physics,242,70,A1,A1,C5,C5,C5,C5,C6,C6,C6,Applied Physics
REG2025_0060,Amy Bryant,Computer Science,256,82,C4,C4,B2,B2,B2,B2,A1,A1,A1,Computer Science
REG2025_0061,Damien Hall,Mathematics and Statistics,229,70,C4,C4,C6,C6,C6,C6,C4,C4,C4,Mathematics and Statistics
REG2025_0062,Caroline Davey-Watkins,Computer Science,259,81,C5,C5,C6,C6,C6,C6,A1,A1,A1,Computer Science
REG2025_0063,Frances Mason,Industrial Chemistry,214,72,C5,C5,C5,C5,C5,C5,C6,C6,C6,Industrial Chemistry
REG2025_0064,Francesca O'Donnell,Applied Physics,232,74,C6,C6,B2,B2,B2,B2,C6,C6,C6,Applied Physics
REG2025_0065,Fiona Smith,Animal and Environmental Biology,204,68,C4,C4,C5,C5,C5,C5,C5,C5,C5,Animal and Environmental Biology
REG2025_0066,Stephanie Riley,Physics,238,83,A1,A1,B2,B2,B2,B2,B3,B3,B3,Physics
REG2025_0067,Henry Jones,Microbiology,251,75,B2,B2,C5,C5,C5,C5,C5,C5,C5,Microbiology
REG2025_0068,Matthew Kirk-Roberts,Physics,244,79,A1,A1,C4,C4,C4,C4,B3,B3,B3,Physics
REG2025_0069,Leigh Hall,Animal and Environmental Biology,211,73,C6,C6,A1,A1,A1,A1,B2,B2,B2,Animal and Environmental Biology
REG2025_0070,Jasmine Wilson,Computer Science,253,75,C5,C5,B2,B2,B2,B2,B3,B3,B3,Computer Science
REG2025_0071,Ms Sian Morris,Microbiology,242,83,B2,B2,C6,C6,C6,C6,B2,B2,B2,Microbiology
REG2025_0072,Leslie Clark-Skinner,Mathematics and Statistics,226,76,C4,C4,C4,C4,C4,C4,A1,A1,A1,Mathematics and Statistics
REG2025_0073,Melanie Allen,Plant Science and Biotechnology,210,71,C5,C5,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0074,Douglas Hamilton,Industrial Chemistry,224,71,C4,C4,C5,C5,C5,C5,C5,C5,C5,Industrial Chemistry
REG2025_0075,Mr Callum Baxter,Computer Science,265,81,C6,C6,C6,C6,C6,C6,C6,C6,C6,Computer Science
REG2025_0076,Sally Day,Computer Science,248,88,C4,C4,A1,A1,A1,A1,B2,B2,B2,Computer Science
REG2025_0077,Rebecca West,Microbiology,243,84,B2,B2,A1,A1,A1,A1,C4,C4,C4,Microbiology
REG2025_0078,George Evans,Animal and Environmental Biology,207,72,A1,A1,C5,C5,C5,C5,A1,A1,A1,Animal and Environmental Biology
REG2025_0079,Linda Butler-Akhtar,Applied Physics,222,81,C4,C4,B2,B2,B2,B2,C6,C6,C6,Applied Physics
REG2025_0080,Mrs Carolyn Williams,Computer Science,247,86,B2,B2,C4,C4,C4,C4,B3,B3,B3,Computer Science
REG2025_0081,Melanie Lewis,Computer Science,244,89,C6,C6,A1,A1,A1,A1,A1,A1,A1,Computer Science
REG2025_0082,Georgina Jackson,Plant Science and Biotechnology,228,73,C4,C4,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0083,Lynne Armstrong,Mathematics and Statistics,233,73,C6,C6,C6,C6,C6,C6,B3,B3,B3,Mathematics and Statistics
REG2025_0084,Sarah Robinson,Microbiology,245,76,A1,A1,C6,C6,C6,C6,B3,B3,B3,Microbiology
REG2025_0085,Jodie Martin,Physics,228,76,C4,C4,B2,B2,B2,B2,B3,B3,B3,Physics
REG2025_0086,Carole Phillips,Plant Science and Biotechnology,229,67,A1,A1,C5,C5,C5,C5,C5,C5,C5,Plant Science and Biotechnology
REG2025_0087,Dr Lorraine Patel,Animal and Environmental Biology,218,71,C4,C4,C6,C6,C6,C6,B3,B3,B3,Animal and Environmental Biology
REG2025_0088,Jamie Miller-Cooper,Plant Science and Biotechnology,200,66,C4,C4,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0089,Allan Griffin,Microbiology,259,70,B2,B2,C6,C6,C6,C6,A1,A1,A1,Microbiology
REG2025_0090,Denise Hayes-Price,Microbiology,255,76,A1,A1,C5,C5,C5,C5,C5,C5,C5,Microbiology
REG2025_0091,Sam Lee,Industrial Chemistry,225,76,C6,C6,B2,B2,B2,B2,C5,C5,C5,Industrial Chemistry
REG2025_0092,Kelly Evans,Biochemistry,228,72,A1,A1,B2,B2,B2,B2,C6,C6,C6,Biochemistry
REG2025_0093,Dawn Jones,Plant Science and Biotechnology,217,60,C5,C5,B3,B3,B3,B3,C6,C6,C6,Plant Science and Biotechnology
REG2025_0094,Mohamed Rowe-Sharpe,Biochemistry,236,74,C6,C6,A1,A1,A1,A1,C6,C6,C6,Biochemistry
REG2025_0095,Mr Leon Smith,Industrial Chemistry,214,70,B3,B3,B3,B3,B3,B3,C5,C5,C5,Industrial Chemistry
REG2025_0096,Alexander Hussain,Mathematics and Statistics,213,68,C4,C4,B3,B3,B3,B3,B3,B3,B3,Mathematics and Statistics
REG2025_0097,Rachel Thomas,Microbiology,234,71,C5,C5,C5,C5,C5,C5,B2,B2,B2,Microbiology
REG2025_0098,Martin Vincent,Biochemistry,228,80,A1,A1,A1,A1,A1,A1,B3,B3,B3,Biochemistry
REG2025_0099,Lisa Hawkins,Applied Physics,232,75,C5,C5,C5,C5,C5,C5,C5,C5,C5,Applied Physics
REG2025_0100,Marilyn Smith,Applied Physics,221,77,B2,B2,C4,C4,C4,C4,C6,C6,C6,Applied Physics
REG2025_0101,Jenna Chapman,Applied Physics,218,72,C5,C5,A1,A1,A1,A1,B3,B3,B3,Applied Physics
REG2025_0102,Colin Singh,Plant Science and Biotechnology,208,65,C5,C5,B3,B3,B3,B3,B3,B3,B3,Plant Science and Biotechnology
REG2025_0103,Sheila Bryant-Parker,Computer Science,266,79,C4,C4,C5,C5,C5,C5,B3,B3,B3,Computer Science
REG2025_0104,Debra Chapman,Biochemistry,230,73,B2,B2,C4,C4,C4,C4,C4,C4,C4,Biochemistry
REG2025_0105,Kayleigh Singh-Woodward,Physics,244,69,A1,A1,B3,B3,B3,B3,B2,B2,B2,Physics
REG2025_0106,Jennifer O'Brien,Physics,247,79,A1,A1,C4,C4,C4,C4,C6,C6,C6,Physics
REG2025_0107,Phillip Cartwright-Fisher,Animal and Environmental Biology,230,74,B3,B3,C5,C5,C5,C5,C6,C6,C6,Animal and Environmental Biology
REG2025_0108,Jason Bowen,Biochemistry,239,70,C4,C4,C6,C6,C6,C6,C6,C6,C6,Biochemistry
REG2025_0109,Suzanne Adams,Industrial Chemistry,219,77,C6,C6,A1,A1,A1,A1,C4,C4,C4,Industrial Chemistry
REG2025_0110,Dr Dominic Jordan,Microbiology,237,79,C4,C4,B3,B3,B3,B3,A1,A1,A1,Microbiology
REG2025_0111,Mr Keith Hill,Physics,237,75,B3,B3,C4,C4,C4,C4,C4,C4,C4,Physics
REG2025_0112,Dr Alex Fox,Plant Science and Biotechnology,209,66,C4,C4,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0113,Christine Martin-Evans,Industrial Chemistry,240,69,C4,C4,C5,C5,C5,C5,B3,B3,B3,Industrial Chemistry
REG2025_0114,Norman Perry-Jones,Physics,241,70,A1,A1,C4,C4,C4,C4,C6,C6,C6,Physics
REG2025_0115,Miss Diane Smith,Industrial Chemistry,238,80,A1,A1,A1,A1,A1,A1,C4,C4,C4,Industrial Chemistry
REG2025_0116,Billy Carter,Computer Science,260,82,B2,B2,C5,C5,C5,C5,B2,B2,B2,Computer Science
REG2025_0117,Rita Parker,Mathematics and Statistics,235,79,C6,C6,C5,C5,C5,C5,A1,A1,A1,Mathematics and Statistics
REG2025_0118,Dawn Pope,Plant Science and Biotechnology,201,65,C4,C4,C5,C5,C5,C5,C6,C6,C6,Plant Science and Biotechnology
REG2025_0119,Samuel Hayes-Hughes,Animal and Environmental Biology,214,73,B2,B2,C5,C5,C5,C5,B3,B3,B3,Animal and Environmental Biology
REG2025_0120,Mr Matthew Coles,Plant Science and Biotechnology,201,65,C5,C5,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0121,Norman Wells,Physics,245,69,A1,A1,B2,B2,B2,B2,A1,A1,A1,Physics
REG2025_0122,Mark James-Woodward,Industrial Chemistry,214,79,C6,C6,C6,C6,C6,C6,B3,B3,B3,Industrial Chemistry
REG2025_0123,Robert Walker,Industrial Chemistry,220,79,C4,C4,B2,B2,B2,B2,B3,B3,B3,Industrial Chemistry
REG2025_0124,Stanley Nash,Mathematics and Statistics,222,69,B3,B3,C4,C4,C4,C4,C6,C6,C6,Mathematics and Statistics
REG2025_0125,Sian Edwards,Animal and Environmental Biology,223,71,C5,C5,C4,C4,C4,C4,B3,B3,B3,Animal and Environmental Biology
REG2025_0126,Mr Daniel Bull,Industrial Chemistry,214,74,A1,A1,C6,C6,C6,C6,B2,B2,B2,Industrial Chemistry
REG2025_0127,Jill Singh,Animal and Environmental Biology,229,67,C4,C4,B3,B3,B3,B3,B3,B3,B3,Animal and Environmental Biology
REG2025_0128,Dr Hugh Khan,Applied Physics,242,68,B3,B3,B3,B3,B3,B3,B2,B2,B2,Applied Physics
REG2025_0129,Carolyn Hill,Biochemistry,234,77,B2,B2,B3,B3,B3,B3,B3,B3,B3,Biochemistry
REG2025_0130,Caroline Hope,Industrial Chemistry,222,71,C6,C6,A1,A1,A1,A1,C4,C4,C4,Industrial Chemistry
REG2025_0131,Naomi Owen,Biochemistry,255,81,B2,B2,C6,C6,C6,C6,B3,B3,B3,Biochemistry
REG2025_0132,Russell Hart-Wilson,Applied Physics,221,79,B2,B2,C4,C4,C4,C4,C4,C4,C4,Applied Physics
REG2025_0133,Lewis Fletcher,Physics,235,74,C5,C5,B2,B2,B2,B2,C6,C6,C6,Physics
REG2025_0134,Justin Turnbull,Mathematics and Statistics,220,75,B2,B2,B2,B2,B2,B2,C6,C6,C6,Mathematics and Statistics
REG2025_0135,Dr Iain Turner,Biochemistry,253,83,B2,B2,C4,C4,C4,C4,C6,C6,C6,Biochemistry
REG2025_0136,Miss Paige Barton,Industrial Chemistry,211,66,C6,C6,C5,C5,C5,C5,C6,C6,C6,Industrial Chemistry
REG2025_0137,Marcus Smith,Biochemistry,239,72,B2,B2,A1,A1,A1,A1,B3,B3,B3,Biochemistry
REG2025_0138,Dr Matthew Spencer,Computer Science,264,79,B3,B3,C4,C4,C4,C4,C6,C6,C6,Computer Science
REG2025_0139,Mr Gregory Johnson,Plant Science and Biotechnology,213,75,C5,C5,B2,B2,B2,B2,B2,B2,B2,Plant Science and Biotechnology
REG2025_0140,Owen Hammond-Griffiths,Plant Science and Biotechnology,225,72,B2,B2,C5,C5,C5,C5,B3,B3,B3,Plant Science and Biotechnology
REG2025_0141,Kathryn Hudson-Scott,Mathematics and Statistics,227,73,C5,C5,C5,C5,C5,C5,C6,C6,C6,Mathematics and Statistics
REG2025_0142,Mrs Samantha Harding,Biochemistry,244,73,C4,C4,C5,C5,C5,C5,A1,A1,A1,Biochemistry
REG2025_0143,Dean Wyatt,Physics,243,69,C5,C5,A1,A1,A1,A1,C5,C5,C5,Physics
REG2025_0144,Wayne Booth,Animal and Environmental Biology,225,74,B3,B3,C6,C6,C6,C6,A1,A1,A1,Animal and Environmental Biology
REG2025_0145,Benjamin Shah,Physics,223,71,C4,C4,C6,C6,C6,C6,C5,C5,C5,Physics
REG2025_0146,Ann Bowen,Industrial Chemistry,225,67,A1,A1,B3,B3,B3,B3,C5,C5,C5,Industrial Chemistry
REG2025_0147,Kate Banks-Williams,Plant Science and Biotechnology,225,74,C6,C6,A1,A1,A1,A1,C5,C5,C5,Plant Science and Biotechnology
REG2025_0148,Dr Glenn Evans,Mathematics and Statistics,223,69,C4,C4,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0149,Raymond Davies,Animal and Environmental Biology,211,71,C4,C4,C6,C6,C6,C6,C6,C6,C6,Animal and Environmental Biology
REG2025_0150,Arthur Kerr,Animal and Environmental Biology,221,69,A1,A1,B2,B2,B2,B2,C6,C6,C6,Animal and Environmental Biology
REG2025_0151,Dr Oliver Moore,Animal and Environmental Biology,215,60,C6,C6,C5,C5,C5,C5,B2,B2,B2,Animal and Environmental Biology
REG2025_0152,Jayne Francis,Computer Science,248,78,B3,B3,C6,C6,C6,C6,C6,C6,C6,Computer Science
REG2025_0153,Miss Alison Edwards,Physics,244,78,B3,B3,A1,A1,A1,A1,B2,B2,B2,Physics
REG2025_0154,Jean Williams-Coleman,Computer Science,242,86,C5,C5,A1,A1,A1,A1,C6,C6,C6,Computer Science
REG2025_0155,Danielle Cunningham-Gray,Plant Science and Biotechnology,210,62,A1,A1,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0156,Darren Morgan-Wells,Animal and Environmental Biology,210,65,B2,B2,C6,C6,C6,C6,A1,A1,A1,Animal and Environmental Biology
REG2025_0157,Marian Booth,Biochemistry,226,82,C5,C5,C4,C4,C4,C4,B3,B3,B3,Biochemistry
REG2025_0158,Iain Wright,Physics,242,72,C6,C6,C6,C6,C6,C6,A1,A1,A1,Physics
REG2025_0159,Mrs Stacey Connor,Physics,237,71,B3,B3,B3,B3,B3,B3,A1,A1,A1,Physics
REG2025_0160,Miss Tracy Hamilton,Mathematics and Statistics,235,66,C6,C6,B3,B3,B3,B3,C5,C5,C5,Mathematics and Statistics
REG2025_0161,Dr Danny Bryan,Computer Science,261,90,C6,C6,B3,B3,B3,B3,B3,B3,B3,Computer Science
REG2025_0162,Connor Shah,Industrial Chemistry,236,72,B2,B2,C6,C6,C6,C6,B2,B2,B2,Industrial Chemistry
REG2025_0163,Trevor Cox,Physics,237,81,C6,C6,C4,C4,C4,C4,B3,B3,B3,Physics
REG2025_0164,Elizabeth Jones-Hall,Physics,225,82,B3,B3,A1,A1,A1,A1,B2,B2,B2,Physics
REG2025_0165,Dr Pamela Harris,Applied Physics,240,74,B2,B2,A1,A1,A1,A1,A1,A1,A1,Applied Physics
REG2025_0166,Anna Adams,Industrial Chemistry,220,66,A1,A1,B3,B3,B3,B3,B2,B2,B2,Industrial Chemistry
REG2025_0167,Abbie Hill,Computer Science,258,90,C5,C5,C5,C5,C5,C5,C6,C6,C6,Computer Science
REG2025_0168,Justin Hewitt,Applied Physics,232,81,A1,A1,A1,A1,A1,A1,A1,A1,A1,Applied Physics
REG2025_0169,Jenna Thompson,Animal and Environmental Biology,224,61,C6,C6,C5,C5,C5,C5,C4,C4,C4,Animal and Environmental Biology
REG2025_0170,Harriet Roberts,Computer Science,244,81,A1,A1,B3,B3,B3,B3,A1,A1,A1,Computer Science
REG2025_0171,Mrs Anna Mason,Industrial Chemistry,220,79,C6,C6,B2,B2,B2,B2,B3,B3,B3,Industrial Chemistry
REG2025_0172,Tina Abbott-Dawson,Microbiology,237,74,C6,C6,B3,B3,B3,B3,C5,C5,C5,Microbiology
REG2025_0173,Lynda Young,Computer Science,246,76,B3,B3,C5,C5,C5,C5,C4,C4,C4,Computer Science
REG2025_0174,Mathew Wall-Williams,Industrial Chemistry,222,65,C5,C5,C5,C5,C5,C5,B3,B3,B3,Industrial Chemistry
REG2025_0175,Cameron Alexander,Applied Physics,225,74,C6,C6,B3,B3,B3,B3,A1,A1,A1,Applied Physics
REG2025_0176,Paul Jones,Biochemistry,237,85,B3,B3,C4,C4,C4,C4,A1,A1,A1,Biochemistry
REG2025_0177,Jonathan Patel,Microbiology,260,73,A1,A1,C6,C6,C6,C6,C5,C5,C5,Microbiology
REG2025_0178,Mr Leslie Walker,Physics,246,70,C4,C4,C4,C4,C4,C4,B2,B2,B2,Physics
REG2025_0179,Carolyn Jones,Plant Science and Biotechnology,227,66,A1,A1,C5,C5,C5,C5,C6,C6,C6,Plant Science and Biotechnology
REG2025_0180,Fiona Murray,Mathematics and Statistics,226,69,B2,B2,C5,C5,C5,C5,A1,A1,A1,Mathematics and Statistics
REG2025_0181,Ben Edwards,Animal and Environmental Biology,212,71,A1,A1,C5,C5,C5,C5,B2,B2,B2,Animal and Environmental Biology
REG2025_0182,Mr Andrew Harding,Mathematics and Statistics,212,68,C5,C5,B2,B2,B2,B2,B3,B3,B3,Mathematics and Statistics
REG2025_0183,Diane Thomas-Williams,Applied Physics,227,66,A1,A1,B3,B3,B3,B3,C5,C5,C5,Applied Physics
REG2025_0184,Kate Vaughan,Applied Physics,241,80,C4,C4,B3,B3,B3,B3,B2,B2,B2,Applied Physics
REG2025_0185,Mrs Kimberley Birch,Mathematics and Statistics,208,68,A1,A1,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0186,Ms Rachael Martin,Plant Science and Biotechnology,214,72,B2,B2,C4,C4,C4,C4,B3,B3,B3,Plant Science and Biotechnology
REG2025_0187,Miss Ann Bowen,Plant Science and Biotechnology,207,64,C5,C5,B3,B3,B3,B3,C6,C6,C6,Plant Science and Biotechnology
REG2025_0188,Henry Khan,Industrial Chemistry,238,72,C5,C5,C4,C4,C4,C4,C4,C4,C4,Industrial Chemistry
REG2025_0189,Miss Nicole Dobson,Industrial Chemistry,232,66,C6,C6,B3,B3,B3,B3,C4,C4,C4,Industrial Chemistry
REG2025_0190,Katherine Kelly-Matthews,Physics,230,69,B2,B2,C5,C5,C5,C5,B2,B2,B2,Physics
REG2025_0191,Stephanie Mason,Computer Science,260,89,A1,A1,B3,B3,B3,B3,C6,C6,C6,Computer Science
REG2025_0192,Julian Gray,Mathematics and Statistics,231,71,B3,B3,A1,A1,A1,A1,C5,C5,C5,Mathematics and Statistics
REG2025_0193,Dr Jill Vaughan,Applied Physics,220,70,C4,C4,C4,C4,C4,C4,C5,C5,C5,Applied Physics
REG2025_0194,Elizabeth Baker,Computer Science,247,85,A1,A1,C6,C6,C6,C6,B3,B3,B3,Computer Science
REG2025_0195,Dr Patrick Haynes,Computer Science,242,89,B3,B3,B2,B2,B2,B2,B2,B2,B2,Computer Science
REG2025_0196,Charlene Jones,Plant Science and Biotechnology,228,73,B2,B2,B3,B3,B3,B3,C5,C5,C5,Plant Science and Biotechnology
REG2025_0197,Russell Begum,Applied Physics,230,76,A1,A1,C5,C5,C5,C5,A1,A1,A1,Applied Physics
REG2025_0198,Roy Robertson,Biochemistry,251,76,C4,C4,C4,C4,C4,C4,C5,C5,C5,Biochemistry
REG2025_0199,Jack Clarke,Physics,227,71,C6,C6,C5,C5,C5,C5,C6,C6,C6,Physics
REG2025_0200,Anthony Smith,Biochemistry,241,73,B2,B2,C4,C4,C4,C4,B3,B3,B3,Biochemistry
REG2025_0201,Mrs Hollie Campbell,Plant Science and Biotechnology,206,60,C5,C5,B3,B3,B3,B3,B3,B3,B3,Plant Science and Biotechnology
REG2025_0202,Mr Liam Edwards,Applied Physics,226,70,A1,A1,A1,A1,A1,A1,B2,B2,B2,Applied Physics
REG2025_0203,Dr Kevin Jones,Applied Physics,242,68,C5,C5,A1,A1,A1,A1,C5,C5,C5,Applied Physics
REG2025_0204,Danny Watson,Mathematics and Statistics,207,77,A1,A1,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0205,Miss Suzanne Russell,Industrial Chemistry,215,66,C4,C4,A1,A1,A1,A1,C4,C4,C4,Industrial Chemistry
REG2025_0206,Jean Parker,Plant Science and Biotechnology,209,67,C4,C4,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0207,Dr Andrew Reed,Biochemistry,241,71,B3,B3,C4,C4,C4,C4,B3,B3,B3,Biochemistry
REG2025_0208,Sophie Smith,Physics,237,83,C4,C4,B2,B2,B2,B2,C6,C6,C6,Physics
REG2025_0209,Cameron Evans,Microbiology,257,70,C5,C5,C4,C4,C4,C4,C6,C6,C6,Microbiology
REG2025_0210,Mr Jonathan Hall,Industrial Chemistry,215,75,B3,B3,B3,B3,B3,B3,C5,C5,C5,Industrial Chemistry
REG2025_0211,Benjamin Phillips,Mathematics and Statistics,219,64,C6,C6,C4,C4,C4,C4,C5,C5,C5,Mathematics and Statistics
